Id_Aktor,Nama Aktor
20131,Abimana Aryasatya
20126,Achmad Megantara
20037,Adhisty Zara
20125,Adinda Thomas
20079,Adinia Wirasti
20060,Adipati Dolken
20139,Aghniny Haque
20118,Ajil Ditto
20134,Al Ghazali
20022,Alex Abbad
20109,Ananda Omesh
20098,Angga Dwimas Sasongko
20034,Angga Yunanda
20124,Anya Geraldine
20051,Arawinda Kirana
20127,Ardhito Pramono
20048,Ariel Tatum
20026,Ario Bayu
20147,Ariyo Wahab
20017,Arswendy Bening Swara
20052,Asmara Abigail
20074,Atikah Suhaime
20130,Ayushita
20044,Baskara Mahendra
20091,Bayu Skak
20001,Bene Dion Rajagukguk
20004,Boris Bokir
20093,Brandon Salim
20010,Bront Palarae
20073,Bunga Citra Lestari
20112,Chicco Kurniawan
20086,Christian Audi
20027,Christine Hakim
20119,Clairine Clay
20043,Clara Bernadeth
20122,Cornelia Agatha
20092,Cut Meyriska
20149,Cut Mini
20038,Cut Mini Theo
20014,Dea Panendra
20105,Deddy Mizwar
20007,Della Dartyan
20061,Denny Sumargo
20150,Derbi Romero
20083,Deva Mahendra
20089,Deva Mahenra
20039,Dian Sastrowardoyo
20011,Dimas Aditya
20065,Dion Wiyoko
20113,Donny Alamsyah
20076,Donny Damara
20107,Edbert Destiny
20012,Endy Arfian
20062,Ernest Prakasa
20110,Estelle Linden
20114,Fachry Albar
20115,Fahrani
20072,Fedi Nuril
20135,Fitria Rasyidi
20129,Ganindra Bimo
20082,Ge Pamungkas
20019,Ghita Bhebhita
20064,Gisella Anastasia
20015,Giulio Parengkuan
20030,Graciella Abigail
20111,Gritte Agatha
20077,Hanggini
20080,Hannah Al Rashid
20070,Herjunot Ali
20137,Indah Permatasari
20003,Indra Jegel
20032,Indro Warkop
20033,Iqbaal Dhiafakhri Ramadhan
20069,Ira Wibowo
20049,Iwa K.
20140,Jeff Smith
20028,Jefri Nichol
20016,Jerome Kurnia
20055,Jessica Mila
20084,Jonathan Mulia
20046,Josephine Firmstone
20094,Joshua Suherman
20006,Juan Bione Subiantoro
20099,Julie Estelle
20058,Karina Suwandhi
20146,Kesha Alvaro
20063,Kin Wah Chew
20008,Kristo Immanuel
20041,Ladya Cheryl
20005,Laura Basuki
20103,Lukman Sardi
20108,Luna Maya
20128,Lutesha
20123,Mandra
20095,Mariana Renata
20054,Marissa Anita
20075,Marsha Timothy
20121,Maudy Koesnaedi
20031,Mawar Eva de Jongh
20066,Meira Anastasia
20141,Muhammad Khan
20132,Natasha Wilona
20148,Nayla D.
20040,Nicholas Saputra
20021,Nirina Zubir
20045,Oka Antara
20002,Oki Rengga
20025,Pevita Pearce
20050,Poppy Sovia
20067,Putri Marino
20035,Rachel Amanda
20096,Rachel Maryam Sayidina
20142,Raditya Evandra
20102,Raihaanun
20071,Raline Shah
20120,Rano Karno 
20088,Ratna Riantiarno
20101,Ravi L. Bharwani
20138,Refal Hady
20056,Reza Rahadian
20133,Ria Ricis
20143,Rianto
20020,Ringgo Agus Rahman
20100,Rio Dewanto
20078,Riri Riza
20047,Rudy Soedjarwo
20136,Ryma
20145,Safira Ratu Sofya
20053,Sekar Sari
20023,Sheila Dara Aisha
20013,Shenina Cinnamon
20068,Slamet Rahardjo
20144,Sujiwo Tejo
20097,Surya Saputra
20106,Syifa Hadju
20009,Tara Basro
20081,Tatjana Saphira
20085,Thomas Nawilis
20018,Tika Panggabean
20087,Tio Pakusadewo
20116,Tissa Biani Azzahra
20042,Titi Kamal
20036,Umay Shahab
20024,Upi Avianto
20104,Verdi Solaiman
20029,Vino G. Bastian
20117,Violla Georgie
20059,Widuri Sasono
20090,Widyawati
20057,Yasmin Napper
