judul,tahun,durasi,gendre,rating,sutradara,aktor,votes,user,isi user,tgl,rating user
Agak Laen,-2024,119 min,Comedy,8.1,Muhadkly Acho,Muhadkly Acho,748,,,,
Agak Laen,-2024,119 min,Comedy,8.1,Muhadkly Acho,Bene Dion Rajagukguk,748,,,,
Agak Laen,-2024,119 min,Comedy,8.1,Muhadkly Acho,Oki Rengga,748,,,,
Agak Laen,-2024,119 min,Comedy,8.1,Muhadkly Acho,Indra Jegel,748,,,,
Agak Laen,-2024,119 min,Comedy,8.1,Muhadkly Acho,Boris Bokir,748,,,,
,,,,,,,,chairulridjal,"Loved the comedies, amazing picture.",10-Feb-24,8
,,,,,,,,zeropyrozen,Truly Belly-Shake Movie,10-Feb-24,9
,,,,,,,,daryopeek,"Funny and realistic, a situation comedy film at its best",15-Feb-24,8
,,,,,,,,tonciang-12-554394,Original and Fresh Dark Comedy,18-Feb-24,8
Sleep Call,-2023,100 min,"Drama, Thriller",6.7,Fajar Nugros,Fajar Nugros,304,,,,
Sleep Call,-2023,100 min,"Drama, Thriller",6.7,Fajar Nugros,Laura Basuki,304,,,,
Sleep Call,-2023,100 min,"Drama, Thriller",6.7,Fajar Nugros,Juan Bione Subiantoro,304,,,,
Sleep Call,-2023,100 min,"Drama, Thriller",6.7,Fajar Nugros,Della Dartyan,304,,,,
Sleep Call,-2023,100 min,"Drama, Thriller",6.7,Fajar Nugros,Kristo Immanuel,304,,,,
,,,,,,,,tomsalf,Laura is a STAR,7-Oct-23,9
,,,,,,,,mariolsitumorang,Crazy Plot for Indonesian Film,8-Sep-23,8
Satan's Slaves,-2017,107 min,"Drama, Horror, Mystery",6.5,Joko Anwar,Joko Anwar,"10,997",,,,
Satan's Slaves,-2017,107 min,"Drama, Horror, Mystery",6.5,Joko Anwar,Tara Basro,"10,997",,,,
Satan's Slaves,-2017,107 min,"Drama, Horror, Mystery",6.5,Joko Anwar,Bront Palarae,"10,997",,,,
Satan's Slaves,-2017,107 min,"Drama, Horror, Mystery",6.5,Joko Anwar,Dimas Aditya,"10,997",,,,
Satan's Slaves,-2017,107 min,"Drama, Horror, Mystery",6.5,Joko Anwar,Endy Arfian,"10,997",,,,
,,,,,,,,Fella_shibby,A very creepy n scary horror film with solid character development n atmosphere.,10-Jun-18,9
,,,,,,,,kosmasp,Flawed but really good,13-Feb-19,9
,,,,,,,,tiagocampos-02918,Away from the recent horror Hollywood crap,28-Jul-19,7
,,,,,,,,Xstal,Poltergeist Ringu Thriller Diller...,26-Aug-20,6
,,,,,,,,claudio_carvalho,Scary and Creepy,31-Aug-18,7
,,,,,,,,hiraishinnojutsu,much better than the original movie,29-Sep-17,7
,,,,,,,,kannibalcorpsegrinder,Absolutely stellar Indonesian feature,27-Oct-17,10
,,,,,,,,nogodnomasters,We don't pray.,17-Aug-20,4
,,,,,,,,umbertod-73386,Scary as sh*t!!!!,2-Oct-17,8
,,,,,,,,redrobin62-321-207311,Could've Been Better.,7-Aug-18,5
,,,,,,,,AziziOthmanMY,a good start with seriously FLAWED ENDING...,22-Aug-18,3
,,,,,,,,morrison-dylan-fan,Rosemary's Slaves.,3-May-20,8
,,,,,,,,SoumikBanerjee1996,Didn't work for me,5-Jul-22,4
,,,,,,,,ilovepakjejen,The Best Indonesian Horror Movie of all time,30-Sep-17,8
,,,,,,,,vmalast,Don't be fooled by good reviews,16-Oct-18,2
