id_film,Id_Sutradara,judul_film,tahun_rilis,durasi_film,genre_film,votes,rating
10001,30001,Agak Laen,2024,119 min,Comedy,748,8.1
10002,30002,Sleep Call,2023,100 min,Drama; Thriller,304,6.7
10003,30003,Satans Slaves,2017,107 min,Drama; Horror; Mystery,10997,6.5
10004,30004,Photocopier,2021,130 min,Crime; Drama; Mystery,3784,6.8
10005,30005,Missing Home,2022,114 min,Comedy; Drama,1992,8
10006,30006,Falling in Love Like in Movies,2023,118 min,Comedy; Drama; Romance,631,8.7
10007,30007,Sri Asih,2022,135 min,Action; Adventure; Drama,1383,6.4
10008,30008,Miracle in Cell No. 7,2022,145 min,Comedy; Drama; Family,836,7.7
10009,30009,Stealing Raden Saleh,2022,154 min,Action; Crime; Drama,2644,7.3
10010,30010,Two Blue Stripes,2019,113 min,Drama,1585,7.8
10011,30011,Whats Up with Cinta?,2002,112 min,Drama; Romance,3119,7.7
10012,30012,Ganjil Genap,2023,124 min,Comedy; Drama; Romance,107,7.5
10013,30013,Broken Wings,2022,110 min,Action; Drama; Romance,1600,5.6
10014,30014,Yuni,2021,95 min,Drama,1499,7.4
10015,30015,Imperfect,2019,113 min,Comedy; Drama; Romance,1327,7.7
10016,30016,Cemaras Family,2018,110 min,Drama; Family,945,7.7
10017,30017,Perfect Strangers,2022,125 min,Comedy; Drama,691,7.4
10018,30018,Check Store Next Door,2016,104 min,Comedy; Drama,2130,7.8
10019,30019,Check Store Next Door 2,2022,114 min,Comedy; Drama,513,7.6
10020,30020,Cinta Pertama; Kedua; & Ketiga,2021,105 min,Drama; Romance,394,6.7
10021,30021,5 cm,2012,125 min,Adventure; Drama; Romance,2391,7.2
10022,30022,My Stupid Boss 2,2019,96 min,Adventure; Comedy,530,6.5
10023,30023,Fireworks,2023,104 min,Drama; Thriller,371,7
10024,30024,Whats Up with Cinta 2,2016,123 min,Drama; Romance,2106,7.3
10025,30025,Aruna & Her Palate,2018,106 min,Drama; Romance,871,7.1
10026,30026,Ghost Writer,2019,97 min,Comedy; Drama; Horror,532,6.6
10027,30027,Gie,2005,147 min,Biography; Drama; History,1058,7.6
10028,30028,Habibie & Ainun,2012,120 min,Biography; Drama; Romance,2246,7.6
10029,30029,Ghost Writer 2,2022,116 min,Comedy; Drama; Horror,189,6.6
10030,30030,Yowis Band,2018,99 min,Comedy; Drama; Musical,3403,7.3
10031,30031,Jonis Promise,2005,83 min,Adventure; Comedy; Drama,1530,7.6
10032,30032,My Stupid Boss,2016,108 min,Comedy,1749,7.1
10033,30033,Letters from Prague,2016,97 min,Drama; Musical; Romance,394,7.1
10034,30034,27 Steps of May,2018,112 min,Drama,586,7.9
10035,30035,A Million of Loves for You,2020,97 min,Drama; Family,236,7.5
10036,30036,Patience is the test,2020,126 min,Adventure; Comedy; Drama,430,7.4
10037,30037,Possessive,2017,102 min,Comedy; Drama; Romance,1006,7.3
10038,30038,Dead Time,2007,102 min,Crime; Fantasy; Horror,1100,7
10039,30039,The Garuda Kids,2020,129 min,Adventure; Biography; Comedy,55,8.5
10040,30040,Si Doel the Movie 3,2020,93 min,Drama,82,6.6
10041,30041,Layangan Putus,2023,91 min,Romance,65,7.8
10042,30042,KKN Di Desa Penari,2022,130 min,Horror; Mystery; Thriller,2300,5.9
10043,30043,13 Bom di Jakarta,2023,143 min,Action; Crime,1000,7.2
10044,30044,Kartini: Princess of Java,2017,90 min,Horror,648,7.6
10045,30045,Gundala,2019,123 min,Action,3112,6.1
10046,30046,Aku Tahu Kapan Kamu Mati,2020,92 min,Horror,17,4
10047,30047,Wedding Agreement,2019,100 min,Drama,112,7
10048,30048,Kucumbu Tubuh Indahku,2018,105 min,Drama,337,7.4
10049,30049,Siksa Neraka,2023,98 min,Horror,388,5.2
10050,30050,Orang Kaya Baru,2019,96 min,Drama,780,6.6
10051,30051,Posesif,2017,102 min,Drama,740,7.3
10052,30052,Mangkujiwo,2020,109 min,Horror,67,5.9
,,,,,,,
